1;undermine;weaken , ('undermine:VB', 'VB')('weaken:VB', 'VB')
1;foresee;picture , ('foresee:VB', 'VB')('picture:NN', 'VB')
1;conserve;protect , ('conserve:VB', 'VB')('protect:VB', 'VB')
1;attribute;ascribe to , ('attribute:NN', 'VB')('ascribe', 'VB');('to', 'TO')
1;adopt;accept , ('adopt:VB', 'VB')('accept:VB', 'VB')
1;entertain@R@;cheer@R@ , ('entertain:VB', 'VB')('cheer:VB', 'VB')
1;employ;hire , ('employ:VB', 'VB')('hire:VB', 'VB')
2;experience;live , ('experience:NN', 'VB')('live:VB', 'VB')
2;contract;sign up , ('contract:NN', 'VB')('sign', 'VB');('up', 'RP')
1;undermine;weaken , ('undermine:VB', 'VB')('weaken:VB', 'VB')
1;foresee;picture , ('foresee:VB', 'VB')('picture:NN', 'VB')
1;conserve;protect , ('conserve:VB', 'VB')('protect:VB', 'VB')
1;attribute;ascribe to , ('attribute:NN', 'VB')('ascribe', 'VB');('to', 'TO')
1;adopt;accept , ('adopt:VB', 'VB')('accept:VB', 'VB')
1;entertain@R@;cheer@R@ , ('entertain:VB', 'VB')('cheer:VB', 'VB')
1;employ;hire , ('employ:VB', 'VB')('hire:VB', 'VB')
2;experience;live , ('experience:NN', 'VB')('live:VB', 'VB')
2;contract;sign up , ('contract:NN', 'VB')('sign', 'VB');('up', 'RP')
0;ensure@R@;reassure@R@ , ('ensure:VB', 'VB')('reassure:VB', 'VB')
0;multiply@R@;double@R@ , ('multiply:VB', 'VB')('double:RB', 'VB')
1;accommodate@R@;admit@R@ , ('accommodate:VB', 'VB')('admit:VB', 'VB')
1;wrestle with;struggle with , ('wrestle', 'VB');('with', 'IN')('struggle:NN', 'VB');('with', 'IN')
0;settle@R@;compensate@R@ , ('settle:VB', 'VB')('compensate:VB', 'VB')
1;revamp@R@;revise@R@ , ('revamp:VB', 'VB')('revise:VB', 'VB')
0;recall@R@;take back@R@ , ('recall:NN', 'VB')('take', 'VB');('back', 'RP')
1;caution;inform , ('caution:NN', 'VB')('inform:VB', 'VB')
1;accomplish@R@;carry out@R@ , ('accomplish:VB', 'VB')('carry', 'VB');('out', 'RP')
1;adapt;accommodate , ('adapt:VB', 'VB')('accommodate:VB', 'VB')
2;disregard@R@;leave out@R@//Discard food left out more than two hours , ('disregard:NN', 'VB')('leave', 'VB');('out', 'RP')
2;hail@R@;glorify@R@ , ('hail:NN', 'VB')('glorify:VB', 'VB')
1;wake up;arouse , ('wake', 'VB');('up', 'RP')('arouse:VB', 'VB')
2;institute;establish , ('institute:NN', 'VB')('establish:VB', 'VB')
0;turn out@R@;work out@R@ , ('turn', 'VB');('out', 'RP')('work', 'VB');('out', 'RP')
1;emulate@R@;imitate@R@ , ('emulate:VB', 'VB')('imitate:VB', 'VB')
1;comprise@R@;integrate@R@ , ('comprise:VB', 'VB')('integrate:VB', 'VB')
1;insure@R@;ensure@R@ , ('insure:VB', 'VB')('ensure:VB', 'VB')
1;forsake@R@;give up@R@ , ('forsake:VB', 'VB')('give', 'VB');('up', 'RP')
1;range@R@;move@R@//"patrols ranged deep into enemy territory" , ('range:NN', 'VB')('move:VB', 'VB')
1;merit;be worthy of//>His findings merit earnest consideration , ('merit:NN', 'VB')('be', 'VB');('worthy', 'JJ');('of', 'IN')
2;hone@R@;perfect@R@ , ('hone:VB', 'VB')('perfect:JJ', 'VB')
2;shove;stuff , ('shove:VB', 'VB')('stuff:NN', 'VB')
1;limit;define , ('limit:NN', 'VB')('define:VB', 'VB')
1;reinforce@R@;strengthen@R@ , ('reinforce:VB', 'VB')('strengthen:VB', 'VB')
2;examine@R@;compare@R@ , ('examine:VB', 'VB')('compare:VB', 'VB')
2;stab@R@;poke@R@ , ('stab:NN', 'VB')('poke:VB', 'VB')
0;enhance;elevate , ('enhance:VB', 'VB')('elevate:VB', 'VB')
0;aim;drive , ('aim:NN', 'VB')('drive:NN', 'VB')
1;inhabit;populate , ('inhabit:VB', 'VB')('populate:VB', 'VB')
